group,year,total,level,attainment,count
"25 to 34 Years, Both Sexes",1940,21339,College: 1 to 3 years,Some College,1554
"25 to 34 Years, Both Sexes",1940,21339,College: 4 years or more,College Degree,1288
"25 to 34 Years, Male",2022,22326,Elementary: 0 to 4 years,Less than High School,78
"25 to 34 Years, Male",2022,22326,Elementary: 5 to 8 years,Less than High School,337
"25 to 34 Years, Male",2022,22326,High School: 1 to 3 years,Less than High School,1042
"25 to 34 Years, Male",2022,22326,High School: 4 years,High School,6840
"25 to 34 Years, Male",2022,22326,College: 1 to 3 years,Some College,5754
"25 to 34 Years, Male",2022,22326,College: 4 years or more,College Degree,8275
"25 to 34 Years, Male",2021,22837,Elementary: 0 to 4 years,Less than High School,95
"25 to 34 Years, Male",2021,22837,Elementary: 5 to 8 years,Less than High School,330
"25 to 34 Years, Male",2021,22837,High School: 1 to 3 years,Less than High School,1213
"25 to 34 Years, Male",2021,22837,High School: 4 years,High School,6936
"25 to 34 Years, Male",2021,22837,College: 1 to 3 years,Some College,6026
"25 to 34 Years, Male",2021,22837,College: 4 years or more,College Degree,8236
"25 to 34 Years, Male",2020,22783,Elementary: 0 to 4 years,Less than High School,94
"25 to 34 Years, Male",2020,22783,Elementary: 5 to 8 years,Less than High School,285
"25 to 34 Years, Male",2020,22783,High School: 1 to 3 years,Less than High School,1064
"25 to 34 Years, Male",2020,22783,High School: 4 years,High School,6897
"25 to 34 Years, Male",2020,22783,College: 1 to 3 years,Some College,6092
"25 to 34 Years, Male",2020,22783,College: 4 years or more,College Degree,8352
"25 to 34 Years, Male",2019,22726,Elementary: 0 to 4 years,Less than High School,147
"25 to 34 Years, Male",2019,22726,Elementary: 5 to 8 years,Less than High School,379
"25 to 34 Years, Male",2019,22726,High School: 1 to 3 years,Less than High School,1303
"25 to 34 Years, Male",2019,22726,High School: 4 years,High School,6593
"25 to 34 Years, Male",2019,22726,College: 1 to 3 years,Some College,5939
"25 to 34 Years, Male",2019,22726,College: 4 years or more,College Degree,8365
"25 to 34 Years, Male",2018,22490,Elementary: 0 to 4 years,Less than High School,95
"25 to 34 Years, Male",2018,22490,Elementary: 5 to 8 years,Less than High School,432
"25 to 34 Years, Male",2018,22490,High School: 1 to 3 years,Less than High School,1431
"25 to 34 Years, Male",2018,22490,High School: 4 years,High School,6530
"25 to 34 Years, Male",2018,22490,College: 1 to 3 years,Some College,6047
"25 to 34 Years, Male",2018,22490,College: 4 years or more,College Degree,7955
"25 to 34 Years, Male",2017,22121,Elementary: 0 to 4 years,Less than High School,135
"25 to 34 Years, Male",2017,22121,Elementary: 5 to 8 years,Less than High School,390
"25 to 34 Years, Male",2017,22121,High School: 1 to 3 years,Less than High School,1410
"25 to 34 Years, Male",2017,22121,High School: 4 years,High School,6456
"25 to 34 Years, Male",2017,22121,College: 1 to 3 years,Some College,6267
"25 to 34 Years, Male",2017,22121,College: 4 years or more,College Degree,7464
"25 to 34 Years, Male",2016,21845,Elementary: 0 to 4 years,Less than High School,116
"25 to 34 Years, Male",2016,21845,Elementary: 5 to 8 years,Less than High School,468
"25 to 34 Years, Male",2016,21845,High School: 1 to 3 years,Less than High School,1427
"25 to 34 Years, Male",2016,21845,High School: 4 years,High School,6386
"25 to 34 Years, Male",2016,21845,College: 1 to 3 years,Some College,6015
"25 to 34 Years, Male",2016,21845,College: 4 years or more,College Degree,7432
"25 to 34 Years, Male",2015,21427,Elementary: 0 to 4 years,Less than High School,166
"25 to 34 Years, Male",2015,21427,Elementary: 5 to 8 years,Less than High School,488
"25 to 34 Years, Male",2015,21427,High School: 1 to 3 years,Less than High School,1584
"25 to 34 Years, Male",2015,21427,High School: 4 years,High School,6198
"25 to 34 Years, Male",2015,21427,College: 1 to 3 years,Some College,5920
"25 to 34 Years, Male",2015,21427,College: 4 years or more,College Degree,7071
"25 to 34 Years, Male",2014,21217,Elementary: 0 to 4 years,Less than High School,151
"25 to 34 Years, Male",2014,21217,Elementary: 5 to 8 years,Less than High School,512
"25 to 34 Years, Male",2014,21217,High School: 1 to 3 years,Less than High School,1611
"25 to 34 Years, Male",2014,21217,High School: 4 years,High School,6323
"25 to 34 Years, Male",2014,21217,College: 1 to 3 years,Some College,5910
"25 to 34 Years, Male",2014,21217,College: 4 years or more,College Degree,6710
"25 to 34 Years, Male",2013,20816,Elementary: 0 to 4 years,Less than High School,161
"25 to 34 Years, Male",2013,20816,Elementary: 5 to 8 years,Less than High School,582
"25 to 34 Years, Male",2013,20816,High School: 1 to 3 years,Less than High School,1747
"25 to 34 Years, Male",2013,20816,High School: 4 years,High School,6058
"25 to 34 Years, Male",2013,20816,College: 1 to 3 years,Some College,5749
"25 to 34 Years, Male",2013,20816,College: 4 years or more,College Degree,6519
"25 to 34 Years, Male",2012,20464,Elementary: 0 to 4 years,Less than High School,161
"25 to 34 Years, Male",2012,20464,Elementary: 5 to 8 years,Less than High School,579
"25 to 34 Years, Male",2012,20464,High School: 1 to 3 years,Less than High School,1707
"25 to 34 Years, Male",2012,20464,High School: 4 years,High School,6127
"25 to 34 Years, Male",2012,20464,College: 1 to 3 years,Some College,5619
"25 to 34 Years, Male",2012,20464,College: 4 years or more,College Degree,6270
"25 to 34 Years, Male",2011,20985,Elementary: 0 to 4 years,Less than High School,190
"25 to 34 Years, Male",2011,20985,Elementary: 5 to 8 years,Less than High School,657
"25 to 34 Years, Male",2011,20985,High School: 1 to 3 years,Less than High School,1791
"25 to 34 Years, Male",2011,20985,High School: 4 years,High School,6444
"25 to 34 Years, Male",2011,20985,College: 1 to 3 years,Some College,5750
"25 to 34 Years, Male",2011,20985,College: 4 years or more,College Degree,6151
"25 to 34 Years, Male",2010,20689,Elementary: 0 to 4 years,Less than High School,186
"25 to 34 Years, Male",2010,20689,Elementary: 5 to 8 years,Less than High School,641
"25 to 34 Years, Male",2010,20689,High School: 1 to 3 years,Less than High School,1866
"25 to 34 Years, Male",2010,20689,High School: 4 years,High School,6458
"25 to 34 Years, Male",2010,20689,College: 1 to 3 years,Some College,5587
"25 to 34 Years, Male",2010,20689,College: 4 years or more,College Degree,5951
"25 to 34 Years, Male",2009,20440,Elementary: 0 to 4 years,Less than High School,184
"25 to 34 Years, Male",2009,20440,Elementary: 5 to 8 years,Less than High School,695
"25 to 34 Years, Male",2009,20440,High School: 1 to 3 years,Less than High School,1806
"25 to 34 Years, Male",2009,20440,High School: 4 years,High School,6495
"25 to 34 Years, Male",2009,20440,College: 1 to 3 years,Some College,5508
"25 to 34 Years, Male",2009,20440,College: 4 years or more,College Degree,5752
"25 to 34 Years, Male",2008,20210,Elementary: 0 to 4 years,Less than High School,172
"25 to 34 Years, Male",2008,20210,Elementary: 5 to 8 years,Less than High School,714
"25 to 34 Years, Male",2008,20210,High School: 1 to 3 years,Less than High School,1874
"25 to 34 Years, Male",2008,20210,High School: 4 years,High School,6356
"25 to 34 Years, Male",2008,20210,College: 1 to 3 years,Some College,5277
"25 to 34 Years, Male",2008,20210,College: 4 years or more,College Degree,5816
"25 to 34 Years, Male",2007,20024,Elementary: 0 to 4 years,Less than High School,246
"25 to 34 Years, Male",2007,20024,Elementary: 5 to 8 years,Less than High School,757
"25 to 34 Years, Male",2007,20024,High School: 1 to 3 years,Less than High School,1930
"25 to 34 Years, Male",2007,20024,High School: 4 years,High School,6361
"25 to 34 Years, Male",2007,20024,College: 1 to 3 years,Some College,5137
"25 to 34 Years, Male",2007,20024,College: 4 years or more,College Degree,5593
"25 to 34 Years, Male",2006,19827,Elementary: 0 to 4 years,Less than High School,218
"25 to 34 Years, Male",2006,19827,Elementary: 5 to 8 years,Less than High School,834
"25 to 34 Years, Male",2006,19827,High School: 1 to 3 years,Less than High School,1835
"25 to 34 Years, Male",2006,19827,High School: 4 years,High School,6233
"25 to 34 Years, Male",2006,19827,College: 1 to 3 years,Some College,5336
"25 to 34 Years, Male",2006,19827,College: 4 years or more,College Degree,5371
"25 to 34 Years, Male",2005,19677,Elementary: 0 to 4 years,Less than High School,241
"25 to 34 Years, Male",2005,19677,Elementary: 5 to 8 years,Less than High School,769
"25 to 34 Years, Male",2005,19677,High School: 1 to 3 years,Less than High School,1827
"25 to 34 Years, Male",2005,19677,High School: 4 years,High School,6216
"25 to 34 Years, Male",2005,19677,College: 1 to 3 years,Some College,5198
"25 to 34 Years, Male",2005,19677,College: 4 years or more,College Degree,5426
"25 to 34 Years, Male",2004,19598,Elementary: 0 to 4 years,Less than High School,280
"25 to 34 Years, Male",2004,19598,Elementary: 5 to 8 years,Less than High School,793
"25 to 34 Years, Male",2004,19598,High School: 1 to 3 years,Less than High School,1723
"25 to 34 Years, Male",2004,19598,High School: 4 years,High School,6020
"25 to 34 Years, Male",2004,19598,College: 1 to 3 years,Some College,5286
"25 to 34 Years, Male",2004,19598,College: 4 years or more,College Degree,5495
"25 to 34 Years, Male",2003,19564,Elementary: 0 to 4 years,Less than High School,216
"25 to 34 Years, Male",2003,19564,Elementary: 5 to 8 years,Less than High School,771
"25 to 34 Years, Male",2003,19564,High School: 1 to 3 years,Less than High School,1831
"25 to 34 Years, Male",2003,19564,High School: 4 years,High School,6028
"25 to 34 Years, Male",2003,19564,College: 1 to 3 years,Some College,5252
"25 to 34 Years, Male",2003,19564,College: 4 years or more,College Degree,5466
"25 to 34 Years, Male",2002,19234,Elementary: 0 to 4 years,Less than High School,280
"25 to 34 Years, Male",2002,19234,Elementary: 5 to 8 years,Less than High School,809
"25 to 34 Years, Male",2002,19234,High School: 1 to 3 years,Less than High School,1782
"25 to 34 Years, Male",2002,19234,High School: 4 years,High School,5751
"25 to 34 Years, Male",2002,19234,College: 1 to 3 years,Some College,5131
"25 to 34 Years, Male",2002,19234,College: 4 years or more,College Degree,5480
"25 to 34 Years, Male",2001,19330,Elementary: 0 to 4 years,Less than High School,233
"25 to 34 Years, Male",2001,19330,Elementary: 5 to 8 years,Less than High School,748
"25 to 34 Years, Male",2001,19330,High School: 1 to 3 years,Less than High School,1677
"25 to 34 Years, Male",2001,19330,High School: 4 years,High School,6099
"25 to 34 Years, Male",2001,19330,College: 1 to 3 years,Some College,5161
"25 to 34 Years, Male",2001,19330,College: 4 years or more,College Degree,5411
"25 to 34 Years, Male",2000,18563,Elementary: 0 to 4 years,Less than High School,155
"25 to 34 Years, Male",2000,18563,Elementary: 5 to 8 years,Less than High School,593
"25 to 34 Years, Male",2000,18563,High School: 1 to 3 years,Less than High School,1637
"25 to 34 Years, Male",2000,18563,High School: 4 years,High School,5989
"25 to 34 Years, Male",2000,18563,College: 1 to 3 years,Some College,4870
"25 to 34 Years, Male",2000,18563,College: 4 years or more,College Degree,5318
"25 to 34 Years, Male",1999,18294,Elementary: 0 to 4 years,Less than High School,157
"25 to 34 Years, Male",1999,18294,Elementary: 5 to 8 years,Less than High School,616
"25 to 34 Years, Male",1999,18294,High School: 1 to 3 years,Less than High School,1724
"25 to 34 Years, Male",1999,18294,High School: 4 years,High School,6114
"25 to 34 Years, Male",1999,18294,College: 1 to 3 years,Some College,5052
"25 to 34 Years, Male",1999,18294,College: 4 years or more,College Degree,5260
"25 to 34 Years, Male",1998,19526,Elementary: 0 to 4 years,Less than High School,190
"25 to 34 Years, Male",1998,19526,Elementary: 5 to 8 years,Less than High School,654
"25 to 34 Years, Male",1998,19526,High School: 1 to 3 years,Less than High School,1735
"25 to 34 Years, Male",1998,19526,High School: 4 years,High School,6592
"25 to 34 Years, Male",1998,19526,College: 1 to 3 years,Some College,5233
"25 to 34 Years, Male",1998,19526,College: 4 years or more,College Degree,5125
"25 to 34 Years, Male",1997,20039,Elementary: 0 to 4 years,Less than High School,193
"25 to 34 Years, Male",1997,20039,Elementary: 5 to 8 years,Less than High School,629
"25 to 34 Years, Male",1997,20039,High School: 1 to 3 years,Less than High School,2007
"25 to 34 Years, Male",1997,20039,High School: 4 years,High School,6482
"25 to 34 Years, Male",1997,20039,College: 1 to 3 years,Some College,5477
"25 to 34 Years, Male",1997,20039,College: 4 years or more,College Degree,5249
"25 to 34 Years, Male",1996,20390,Elementary: 0 to 4 years,Less than High School,225
"25 to 34 Years, Male",1996,20390,Elementary: 5 to 8 years,Less than High School,601
"25 to 34 Years, Male",1996,20390,High School: 1 to 3 years,Less than High School,2055
"25 to 34 Years, Male",1996,20390,High School: 4 years,High School,6701
"25 to 34 Years, Male",1996,20390,College: 1 to 3 years,Some College,5536
"25 to 34 Years, Male",1996,20390,College: 4 years or more,College Degree,5274
"25 to 34 Years, Male",1995,20589,Elementary: 0 to 4 years,Less than High School,229
"25 to 34 Years, Male",1995,20589,Elementary: 5 to 8 years,Less than High School,708
"25 to 34 Years, Male",1995,20589,High School: 1 to 3 years,Less than High School,1930
"25 to 34 Years, Male",1995,20589,High School: 4 years,High School,7176
"25 to 34 Years, Male",1995,20589,College: 1 to 3 years,Some College,5373
"25 to 34 Years, Male",1995,20589,College: 4 years or more,College Degree,5174
"25 to 34 Years, Male",1994,20873,Elementary: 0 to 4 years,Less than High School,230
"25 to 34 Years, Male",1994,20873,Elementary: 5 to 8 years,Less than High School,716
"25 to 34 Years, Male",1994,20873,High School: 1 to 3 years,Less than High School,2134
"25 to 34 Years, Male",1994,20873,High School: 4 years,High School,7408
"25 to 34 Years, Male",1994,20873,College: 1 to 3 years,Some College,5510
"25 to 34 Years, Male",1994,20873,College: 4 years or more,College Degree,4873
"25 to 34 Years, Male",1993,20856,Elementary: 0 to 4 years,Less than High School,237
"25 to 34 Years, Male",1993,20856,Elementary: 5 to 8 years,Less than High School,679
"25 to 34 Years, Male",1993,20856,High School: 1 to 3 years,Less than High School,1986
"25 to 34 Years, Male",1993,20856,High School: 4 years,High School,7604
"25 to 34 Years, Male",1993,20856,College: 1 to 3 years,Some College,5308
"25 to 34 Years, Male",1993,20856,College: 4 years or more,College Degree,5041
"25 to 34 Years, Male",1992,21125,Elementary: 0 to 4 years,Less than High School,231
"25 to 34 Years, Male",1992,21125,Elementary: 5 to 8 years,Less than High School,682
"25 to 34 Years, Male",1992,21125,High School: 1 to 3 years,Less than High School,2057
"25 to 34 Years, Male",1992,21125,High School: 4 years,High School,8113
"25 to 34 Years, Male",1992,21125,College: 1 to 3 years,Some College,5116
"25 to 34 Years, Male",1992,21125,College: 4 years or more,College Degree,4927
"25 to 34 Years, Male",1991,21319,Elementary: 0 to 4 years,Less than High School,270
"25 to 34 Years, Male",1991,21319,Elementary: 5 to 8 years,Less than High School,694
"25 to 34 Years, Male",1991,21319,High School: 1 to 3 years,Less than High School,2095
"25 to 34 Years, Male",1991,21319,High School: 4 years,High School,8810
"25 to 34 Years, Male",1991,21319,College: 1 to 3 years,Some College,4441
"25 to 34 Years, Male",1991,21319,College: 4 years or more,College Degree,5009
"25 to 34 Years, Male",1990,21462,Elementary: 0 to 4 years,Less than High School,295
"25 to 34 Years, Male",1990,21462,Elementary: 5 to 8 years,Less than High School,759
"25 to 34 Years, Male",1990,21462,High School: 1 to 3 years,Less than High School,2153
"25 to 34 Years, Male",1990,21462,High School: 4 years,High School,8649
"25 to 34 Years, Male",1990,21462,College: 1 to 3 years,Some College,4392
"25 to 34 Years, Male",1990,21462,College: 4 years or more,College Degree,5215
"25 to 34 Years, Male",1989,21461,Elementary: 0 to 4 years,Less than High School,251
"25 to 34 Years, Male",1989,21461,Elementary: 5 to 8 years,Less than High School,698
"25 to 34 Years, Male",1989,21461,High School: 1 to 3 years,Less than High School,2129
