group,year,total,level,attainment,count
"25 Years and Over, Both Sexes",1989,154155,High School: 1 to 3 years,Less than High School,17719
"25 Years and Over, Both Sexes",1989,154155,High School: 4 years,High School,59336
"25 Years and Over, Both Sexes",1989,154155,College: 1 to 3 years,Some College,26614
"25 Years and Over, Both Sexes",1989,154155,College: 4 years or more,College Degree,32565
"25 Years and Over, Both Sexes",1988,151635,Elementary: 0 to 4 years,Less than High School,3714
"25 Years and Over, Both Sexes",1988,151635,Elementary: 5 to 8 years,Less than High School,14550
"25 Years and Over, Both Sexes",1988,151635,High School: 1 to 3 years,Less than High School,17847
"25 Years and Over, Both Sexes",1988,151635,High School: 4 years,High School,58940
"25 Years and Over, Both Sexes",1988,151635,College: 1 to 3 years,Some College,25799
"25 Years and Over, Both Sexes",1988,151635,College: 4 years or more,College Degree,30787
"25 Years and Over, Both Sexes",1987,149144,Elementary: 0 to 4 years,Less than High School,3640
"25 Years and Over, Both Sexes",1987,149144,Elementary: 5 to 8 years,Less than High School,15301
"25 Years and Over, Both Sexes",1987,149144,High School: 1 to 3 years,Less than High School,17417
"25 Years and Over, Both Sexes",1987,149144,High School: 4 years,High School,57669
"25 Years and Over, Both Sexes",1987,149144,College: 1 to 3 years,Some College,25479
"25 Years and Over, Both Sexes",1987,149144,College: 4 years or more,College Degree,29637
"25 Years and Over, Both Sexes",1986,146606,Elementary: 0 to 4 years,Less than High School,3894
"25 Years and Over, Both Sexes",1986,146606,Elementary: 5 to 8 years,Less than High School,15672
"25 Years and Over, Both Sexes",1986,146606,High School: 1 to 3 years,Less than High School,17484
"25 Years and Over, Both Sexes",1986,146606,High School: 4 years,High School,56338
"25 Years and Over, Both Sexes",1986,146606,College: 1 to 3 years,Some College,24729
"25 Years and Over, Both Sexes",1986,146606,College: 4 years or more,College Degree,28489
"25 Years and Over, Both Sexes",1985,143524,Elementary: 0 to 4 years,Less than High School,3873
"25 Years and Over, Both Sexes",1985,143524,Elementary: 5 to 8 years,Less than High School,16020
"25 Years and Over, Both Sexes",1985,143524,High School: 1 to 3 years,Less than High School,17553
"25 Years and Over, Both Sexes",1985,143524,High School: 4 years,High School,54866
"25 Years and Over, Both Sexes",1985,143524,College: 1 to 3 years,Some College,23405
"25 Years and Over, Both Sexes",1985,143524,College: 4 years or more,College Degree,27808
"25 Years and Over, Both Sexes",1984,140794,Elementary: 0 to 4 years,Less than High School,3884
"25 Years and Over, Both Sexes",1984,140794,Elementary: 5 to 8 years,Less than High School,16258
"25 Years and Over, Both Sexes",1984,140794,High School: 1 to 3 years,Less than High School,17433
"25 Years and Over, Both Sexes",1984,140794,High School: 4 years,High School,54073
"25 Years and Over, Both Sexes",1984,140794,College: 1 to 3 years,Some College,22281
"25 Years and Over, Both Sexes",1984,140794,College: 4 years or more,College Degree,26862
"25 Years and Over, Both Sexes",1983,138020,Elementary: 0 to 4 years,Less than High School,4119
"25 Years and Over, Both Sexes",1983,138020,Elementary: 5 to 8 years,Less than High School,16714
"25 Years and Over, Both Sexes",1983,138020,High School: 1 to 3 years,Less than High School,17681
"25 Years and Over, Both Sexes",1983,138020,High School: 4 years,High School,52060
"25 Years and Over, Both Sexes",1983,138020,College: 1 to 3 years,Some College,21531
"25 Years and Over, Both Sexes",1983,138020,College: 4 years or more,College Degree,25915
"25 Years and Over, Both Sexes",1982,135526,Elementary: 0 to 4 years,Less than High School,4119
"25 Years and Over, Both Sexes",1982,135526,Elementary: 5 to 8 years,Less than High School,17232
"25 Years and Over, Both Sexes",1982,135526,High School: 1 to 3 years,Less than High School,18006
"25 Years and Over, Both Sexes",1982,135526,High School: 4 years,High School,51426
"25 Years and Over, Both Sexes",1982,135526,College: 1 to 3 years,Some College,20692
"25 Years and Over, Both Sexes",1982,135526,College: 4 years or more,College Degree,24050
"25 Years and Over, Both Sexes",1981,132899,Elementary: 0 to 4 years,Less than High School,4358
"25 Years and Over, Both Sexes",1981,132899,Elementary: 5 to 8 years,Less than High School,17868
"25 Years and Over, Both Sexes",1981,132899,High School: 1 to 3 years,Less than High School,18041
"25 Years and Over, Both Sexes",1981,132899,High School: 4 years,High School,49915
"25 Years and Over, Both Sexes",1981,132899,College: 1 to 3 years,Some College,20042
"25 Years and Over, Both Sexes",1981,132899,College: 4 years or more,College Degree,22674
"25 Years and Over, Both Sexes",1980,130409,Elementary: 0 to 4 years,Less than High School,4390
"25 Years and Over, Both Sexes",1980,130409,Elementary: 5 to 8 years,Less than High School,18426
"25 Years and Over, Both Sexes",1980,130409,High School: 1 to 3 years,Less than High School,18086
"25 Years and Over, Both Sexes",1980,130409,High School: 4 years,High School,47934
"25 Years and Over, Both Sexes",1980,130409,College: 1 to 3 years,Some College,19379
"25 Years and Over, Both Sexes",1980,130409,College: 4 years or more,College Degree,22193
"25 Years and Over, Both Sexes",1979,125295,Elementary: 0 to 4 years,Less than High School,4324
"25 Years and Over, Both Sexes",1979,125295,Elementary: 5 to 8 years,Less than High School,18504
"25 Years and Over, Both Sexes",1979,125295,High School: 1 to 3 years,Less than High School,17579
"25 Years and Over, Both Sexes",1979,125295,High School: 4 years,High School,45915
"25 Years and Over, Both Sexes",1979,125295,College: 1 to 3 years,Some College,18393
"25 Years and Over, Both Sexes",1979,125295,College: 4 years or more,College Degree,20579
"25 Years and Over, Both Sexes",1978,123019,Elementary: 0 to 4 years,Less than High School,4445
"25 Years and Over, Both Sexes",1978,123019,Elementary: 5 to 8 years,Less than High School,19309
"25 Years and Over, Both Sexes",1978,123019,High School: 1 to 3 years,Less than High School,18175
"25 Years and Over, Both Sexes",1978,123019,High School: 4 years,High School,44381
"25 Years and Over, Both Sexes",1978,123019,College: 1 to 3 years,Some College,17379
"25 Years and Over, Both Sexes",1978,123019,College: 4 years or more,College Degree,19332
"25 Years and Over, Both Sexes",1977,120870,Elementary: 0 to 4 years,Less than High School,4509
"25 Years and Over, Both Sexes",1977,120870,Elementary: 5 to 8 years,Less than High School,19567
"25 Years and Over, Both Sexes",1977,120870,High School: 1 to 3 years,Less than High School,18318
"25 Years and Over, Both Sexes",1977,120870,High School: 4 years,High School,43602
"25 Years and Over, Both Sexes",1977,120870,College: 1 to 3 years,Some College,16247
"25 Years and Over, Both Sexes",1977,120870,College: 4 years or more,College Degree,18627
"25 Years and Over, Both Sexes",1976,118848,Elementary: 0 to 4 years,Less than High School,4601
"25 Years and Over, Both Sexes",1976,118848,Elementary: 5 to 8 years,Less than High School,19912
"25 Years and Over, Both Sexes",1976,118848,High School: 1 to 3 years,Less than High School,18204
"25 Years and Over, Both Sexes",1976,118848,High School: 4 years,High School,43157
"25 Years and Over, Both Sexes",1976,118848,College: 1 to 3 years,Some College,15477
"25 Years and Over, Both Sexes",1976,118848,College: 4 years or more,College Degree,17496
"25 Years and Over, Both Sexes",1975,116897,Elementary: 0 to 4 years,Less than High School,4912
"25 Years and Over, Both Sexes",1975,116897,Elementary: 5 to 8 years,Less than High School,20633
"25 Years and Over, Both Sexes",1975,116897,High School: 1 to 3 years,Less than High School,18237
"25 Years and Over, Both Sexes",1975,116897,High School: 4 years,High School,42353
"25 Years and Over, Both Sexes",1975,116897,College: 1 to 3 years,Some College,14518
"25 Years and Over, Both Sexes",1975,116897,College: 4 years or more,College Degree,16244
"25 Years and Over, Both Sexes",1974,115005,Elementary: 0 to 4 years,Less than High School,5106
"25 Years and Over, Both Sexes",1974,115005,Elementary: 5 to 8 years,Less than High School,21200
"25 Years and Over, Both Sexes",1974,115005,High School: 1 to 3 years,Less than High School,18274
"25 Years and Over, Both Sexes",1974,115005,High School: 4 years,High School,41460
"25 Years and Over, Both Sexes",1974,115005,College: 1 to 3 years,Some College,13665
"25 Years and Over, Both Sexes",1974,115005,College: 4 years or more,College Degree,15300
"25 Years and Over, Both Sexes",1973,112866,Elementary: 0 to 4 years,Less than High School,5100
"25 Years and Over, Both Sexes",1973,112866,Elementary: 5 to 8 years,Less than High School,21838
"25 Years and Over, Both Sexes",1973,112866,High School: 1 to 3 years,Less than High School,18420
"25 Years and Over, Both Sexes",1973,112866,High School: 4 years,High School,40448
"25 Years and Over, Both Sexes",1973,112866,College: 1 to 3 years,Some College,12831
"25 Years and Over, Both Sexes",1973,112866,College: 4 years or more,College Degree,14228
"25 Years and Over, Both Sexes",1972,111133,Elementary: 0 to 4 years,Less than High School,5124
"25 Years and Over, Both Sexes",1972,111133,Elementary: 5 to 8 years,Less than High School,22503
"25 Years and Over, Both Sexes",1972,111133,High School: 1 to 3 years,Less than High School,18855
"25 Years and Over, Both Sexes",1972,111133,High School: 4 years,High School,39171
"25 Years and Over, Both Sexes",1972,111133,College: 1 to 3 years,Some College,12117
"25 Years and Over, Both Sexes",1972,111133,College: 4 years or more,College Degree,13364
"25 Years and Over, Both Sexes",1971,110627,Elementary: 0 to 4 years,Less than High School,5574
"25 Years and Over, Both Sexes",1971,110627,Elementary: 5 to 8 years,Less than High School,24029
"25 Years and Over, Both Sexes",1971,110627,High School: 1 to 3 years,Less than High School,18601
"25 Years and Over, Both Sexes",1971,110627,High School: 4 years,High School,38029
"25 Years and Over, Both Sexes",1971,110627,College: 1 to 3 years,Some College,11782
"25 Years and Over, Both Sexes",1971,110627,College: 4 years or more,College Degree,12612
"25 Years and Over, Both Sexes",1970,109310,Elementary: 0 to 4 years,Less than High School,5747
"25 Years and Over, Both Sexes",1970,109310,Elementary: 5 to 8 years,Less than High School,24519
"25 Years and Over, Both Sexes",1970,109310,High School: 1 to 3 years,Less than High School,18682
"25 Years and Over, Both Sexes",1970,109310,High School: 4 years,High School,37134
"25 Years and Over, Both Sexes",1970,109310,College: 1 to 3 years,Some College,11164
"25 Years and Over, Both Sexes",1970,109310,College: 4 years or more,College Degree,12062
"25 Years and Over, Both Sexes",1969,107750,Elementary: 0 to 4 years,Less than High School,6014
"25 Years and Over, Both Sexes",1969,107750,Elementary: 5 to 8 years,Less than High School,24976
"25 Years and Over, Both Sexes",1969,107750,High School: 1 to 3 years,Less than High School,18527
"25 Years and Over, Both Sexes",1969,107750,High School: 4 years,High School,36133
"25 Years and Over, Both Sexes",1969,107750,College: 1 to 3 years,Some College,10564
"25 Years and Over, Both Sexes",1969,107750,College: 4 years or more,College Degree,11535
"25 Years and Over, Both Sexes",1968,106469,Elementary: 0 to 4 years,Less than High School,6248
"25 Years and Over, Both Sexes",1968,106469,Elementary: 5 to 8 years,Less than High School,25467
"25 Years and Over, Both Sexes",1968,106469,High School: 1 to 3 years,Less than High School,18724
"25 Years and Over, Both Sexes",1968,106469,High School: 4 years,High School,34603
"25 Years and Over, Both Sexes",1968,106469,College: 1 to 3 years,Some College,10254
"25 Years and Over, Both Sexes",1968,106469,College: 4 years or more,College Degree,11171
"25 Years and Over, Both Sexes",1967,104864,Elementary: 0 to 4 years,Less than High School,6400
"25 Years and Over, Both Sexes",1967,104864,Elementary: 5 to 8 years,Less than High School,26178
"25 Years and Over, Both Sexes",1967,104864,High School: 1 to 3 years,Less than High School,18647
"25 Years and Over, Both Sexes",1967,104864,High School: 4 years,High School,33173
"25 Years and Over, Both Sexes",1967,104864,College: 1 to 3 years,Some College,9914
"25 Years and Over, Both Sexes",1967,104864,College: 4 years or more,College Degree,10550
